filename,label
Tree/addis_image11_9x24.jpg,Tree
Tree/addis_image11_9x25.jpg,Tree
Tree/addis_image12_1x4.jpg,Tree
Tree/addis_image12_1x10.jpg,Tree
Tree/addis_image12_2x4.jpg,Tree
Tree/addis_image12_2x5.jpg,Tree
Tree/addis_image12_13x30.jpg,Tree
Tree/addis_image12_13x32.jpg,Tree
Tree/addis_image12_13x31.jpg,Tree
Tree/addis_image12_16x28.jpg,Tree
Tree/addis_image13_1x12.jpg,Tree
Tree/addis_image13_1x13.jpg,Tree
Tree/addis_image13_8x9.jpg,Tree
Tree/addis_image13_8x8.jpg,Tree
Tree/addis_image13_8x10.jpg,Tree
Tree/addis_image14_2x20.jpg,Tree
Tree/addis_image14_4x25.jpg,Tree
Tree/addis_image15_1x2.jpg,Tree
Tree/addis_image15_1x3.jpg,Tree
Tree/addis_image15_1x4.jpg,Tree
Tree/addis_image15_1x5.jpg,Tree
Tree/addis_image15_1x8.jpg,Tree
Tree/addis_image15_1x7.jpg,Tree
Tree/addis_image15_1x13.jpg,Tree
Tree/addis_image15_1x14.jpg,Tree
Tree/addis_image15_1x15.jpg,Tree
Tree/addis_image15_1x16.jpg,Tree
Tree/addis_image15_1x19.jpg,Tree
Tree/addis_image15_2x3.jpg,Tree
Tree/addis_image15_2x2.jpg,Tree
Tree/addis_image15_2x4.jpg,Tree
Tree/addis_image15_2x6.jpg,Tree
Tree/addis_image15_2x5.jpg,Tree
Tree/addis_image15_2x9.jpg,Tree
Tree/addis_image15_2x8.jpg,Tree
Tree/addis_image15_2x7.jpg,Tree
Tree/addis_image15_2x17.jpg,Tree
Tree/addis_image15_2x20.jpg,Tree
Tree/addis_image15_2x19.jpg,Tree
Tree/addis_image15_2x18.jpg,Tree
Tree/addis_image15_2x21.jpg,Tree
Tree/addis_image15_3x3.jpg,Tree
Tree/addis_image15_3x4.jpg,Tree
Tree/addis_image15_3x5.jpg,Tree
Tree/addis_image15_3x6.jpg,Tree
Tree/addis_image15_3x7.jpg,Tree
Tree/addis_image15_3x10.jpg,Tree
Tree/addis_image15_3x8.jpg,Tree
Tree/addis_image15_3x11.jpg,Tree
Tree/addis_image15_3x18.jpg,Tree
Tree/addis_image15_3x19.jpg,Tree
